DEC BY FEM	DEC BY MALE	AGE FEM	AGE MALE	LIKE BY FEM	LIKE BY MALE	ATTRACT BY FEM	ATTRACT BY MALE	ATTRIB BY FEM	ATTRIB BY MALE
1	1	26	25	10.0	10.0	10.0	10.0	50.0	50.0
1	1	22	25	8.0	10.0	5.0	10.0	44.0	49.0
1	0	24	27	8.0	3.0	9.0	2.0	34.0	17.0
1	1	28	27	7.0	7.0	7.0	7.0	37.0	33.0
0	0	26	22	5.0	5.0	2.0	5.0	36.0	24.0
1	1	23	23	7.0	8.0	7.0	7.0	41.0	38.0
1	1	28	23	6.0	8.0	8.0	7.0	34.0	29.0
1	0	23	30	8.0	7.0	7.0	7.0	41.0	33.0
0	1	23	30	3.0	6.0	2.0	6.0	31.0	26.0
1	1	30	28	7.0	7.0	7.0	6.0	34.0	38.0
1	1	29	29	7.0	8.0	5.0	8.0	28.0	40.0
0	0	25	30	6.0	6.0	6.0	6.0	33.0	31.0
0	1	27	23	6.0	7.0	6.0	5.0	27.0	35.0
1	0	25	24	6.0	6.0	4.0	7.0	32.0	32.0
0	0	24	22	3.0	6.0	5.0	5.0	30.0	27.0
1	0	26	25	9.0	5.0	4.0	5.0	30.0	45.0
1	1	23	24	7.0	8.0	5.0	8.0	32.0	41.0
1	0	23	30	6.0	6.0	7.0	6.0	34.0	32.0
1	1	27	23	8.0	10.0	10.0	9.0	40.0	38.0
0	1	29	24	3.0	9.0	1.0	7.0	22.0	38.0
0	0	26	30	6.0	6.0	6.0	6.0	35.0	31.0
0	1	28	27	4.0	7.0	5.0	5.0	22.0	37.0
1	1	23	30	5.0	8.0	7.0	8.0	35.0	35.0
