YEAR	MONTH	F SCALE	FATALITIES	LENGTH (MI)	WIDTH (YD)
1992	3	0	0	0.20	10
1992	3	0	0	1.50	50
1992	4	0	0	0.50	13
1992	6	0	0	0.10	10
1992	6	1	0	1.50	100
1992	6	4	0	7.00	160
1992	6	0	0	0.20	30
1992	6	0	0	0.10	10
1992	7	1	0	1.00	23
1992	7	0	0	0.20	13
1992	8	0	0	1.50	100
1992	8	0	0	0.80	200
1992	10	2	0	2.00	100
1992	11	1	0	1.00	40
1992	11	3	0	27.00	880
1993	3	0	0	0.10	10
1993	3	1	0	0.40	40
1993	4	2	0	2.00	150
1993	4	1	0	0.10	100
1993	4	0	0	0.10	20
1993	6	0	0	0.10	10
1993	6	0	0	0.30	50
1993	7	0	0	0.10	10
1993	8	2	0	1.50	330
1993	9	0	0	0.20	40
1993	11	1	0	2.00	100
1993	11	0	0	2.00	100
1994	3	0	0	2.50	220
1994	4	0	0	0.10	10
1994	5	0	0	0.10	23
1994	5	0	0	0.10	23
1994	6	1	0	0.10	73
1994	6	1	0	4.00	40
1994	7	2	0	0.30	150
1994	10	0	0	1.00	23
1994	11	0	0	0.10	10
1995	1	1	0	5.00	30
1995	3	0	0	2.00	50
1995	4	0	0	1.00	50
1995	5	1	0	0.30	30
1995	6	1	0	0.70	33
1995	6	0	0	0.20	10
1995	10	1	0	6.00	100
1995	10	0	0	0.10	30
1995	11	2	2	8.50	100
1996	1	2	0	0.50	50
1996	2	0	0	3.00	10
1996	3	2	2	4.00	200
1996	4	0	0	0.10	25
1996	5	0	0	0.10	50
1996	5	1	0	2.00	50
1996	5	1	0	1.00	100
1996	5	0	0	0.10	50
1996	6	1	0	2.40	450
1996	8	0	0	0.20	20
1996	8	0	0	0.20	50
1997	2	0	0	0.20	20
1997	3	0	0	0.50	50
1997	4	1	0	0.50	200
1997	4	0	0	1.00	10
1997	4	0	0	0.50	50
1997	5	0	0	0.70	10
1997	6	0	0	0.20	30
1997	6	0	0	0.10	30
1997	6	0	0	0.10	30
1997	10	1	0	2.00	150
1997	10	1	0	3.80	10
1997	12	1	0	1.00	30
1998	2	0	0	0.10	30
1998	4	0	0	0.10	30
1998	4	0	0	0.10	30
1998	5	0	0	0.10	50
1998	5	0	0	0.10	30
1998	5	0	0	2.00	30
1998	5	0	0	0.10	30
1998	5	0	0	2.00	440
1998	6	0	0	0.20	60
1998	6	0	0	0.10	30
1998	6	0	0	0.10	30
1998	6	0	0	0.10	30
1998	10	2	0	27.00	1410
1998	10	0	0	0.10	30
1999	1	0	0	3.00	50
1999	1	0	0	0.50	0
1999	2	0	0	1.00	50
1999	4	1	0	12.00	200
1999	4	0	0	0.30	0
1999	4	0	0	4.20	50
1999	4	0	0	0.10	0
1999	5	0	0	1.00	0
1999	6	0	0	0.10	20
1999	6	0	0	0.10	10
1999	6	0	0	0.10	0
1999	8	2	0	11.50	40
2000	3	0	0	6.00	30
2000	3	0	0	0.30	100
2000	5	1	0	0.50	40
2000	5	0	0	0.10	20
2000	9	0	0	2.00	30
2000	11	0	0	0.20	20
2001	4	0	0	0.30	30
2001	4	1	0	2.00	75
2001	5	0	0	1.00	50
2001	6	0	0	0.10	50
2001	6	0	0	0.10	50
2001	6	1	0	2.00	0
2001	9	4	0	10.00	75
2001	9	1	0	6.00	75
2001	10	1	0	0.50	100
2002	4	1	0	2.00	100
2002	5	0	0	0.20	25
2002	5	0	0	0.20	25
2002	6	1	0	1.00	100
2002	7	0	0	0.10	50
2002	7	0	0	2.00	150
2002	9	0	0	0.20	50
2002	11	2	0	5.50	75
2002	12	1	0	3.10	125
2003	5	0	0	1.00	75
2003	5	0	0	1.00	30
2003	5	0	0	0.10	10
2003	5	0	0	0.10	10
2003	6	0	0	0.20	50
2003	6	0	0	0.10	10
2003	6	0	0	0.10	10
2003	6	2	0	6.00	400
2003	6	0	0	2.50	100
2003	9	0	0	0.20	30
2003	9	1	0	5.00	100
2004	5	0	0	0.10	10
2004	5	1	0	1.00	150
2004	5	0	0	0.20	30
2004	5	1	0	2.00	300
2004	5	1	0	1.00	40
2004	6	0	0	0.10	50
2004	6	1	0	4.00	50
2004	6	0	0	0.70	40
2004	6	0	0	3.00	100
2004	7	0	0	0.50	25
2004	8	0	0	0.10	75
2004	9	0	0	1.00	25
2004	9	1	0	2.00	300
2004	9	2	0	8.00	400
2004	10	0	0	0.50	25
2005	5	0	0	0.50	30
2005	5	0	0	4.00	30
2005	6	1	0	3.00	100
2005	7	0	0	1.00	100
2005	7	0	0	0.20	30
2005	8	1	0	0.70	50
2005	9	0	0	0.10	20
2005	9	0	0	1.50	40
2005	9	0	0	4.00	50
2005	11	0	0	0.20	50
2006	3	1	0	11.00	300
2006	3	0	0	57.00	50
2006	4	1	0	1.00	100
2006	4	0	0	0.50	50
2006	7	0	0	0.10	25
2006	10	0	0	0.10	10
2007	2	4	0	28.01	800
2007	3	2	0	0.40	75
2007	5	0	0	0.20	50
2007	5	0	0	1.50	40
2007	5	1	0	1.17	50
2007	5	0	0	0.50	40
2007	5	1	0	0.60	80
2007	5	0	0	0.10	100
2007	6	0	0	0.20	25
2007	8	1	0	4.09	50
2007	11	0	0	1.52	30
2008	2	1	0	8.95	150
2008	4	1	0	6.54	80
2008	4	2	0	9.00	400
2008	4	0	0	1.83	100
2008	5	2	0	0.06	100
2008	6	1	0	2.15	75
2008	6	0	0	0.30	10
2008	7	0	0	10.01	25
2008	9	1	0	6.04	100
2008	9	1	0	5.00	75
2009	3	0	0	0.16	50
2009	3	0	0	0.28	50
2009	3	1	0	5.00	100
2009	4	1	0	0.26	75
2009	4	0	0	1.75	50
2009	4	0	0	0.51	70
2009	5	0	0	2.52	50
2009	5	0	0	1.20	75
2009	6	1	0	2.08	70
2009	7	3	0	2.29	350
2009	7	1	0	0.20	100
2009	7	1	0	0.10	50
2010	4	0	0	0.15	20
2010	4	0	0	0.06	25
2010	5	2	0	0.25	100
2010	5	0	0	2.73	125
2010	5	0	0	0.10	50
2010	5	4	0	5.70	1200
2010	5	0	0	2.53	100
2010	5	0	0	0.14	50
2010	6	1	0	1.00	100
2010	6	1	0	2.16	220
2010	7	1	0	0.57	50
2010	8	0	0	1.00	40
2010	8	0	0	0.09	20
2010	10	0	0	2.87	50
2011	3	1	0	0.60	25
2011	4	2	0	6.42	300
2011	4	0	0	0.09	50
2011	4	1	0	1.99	100
2011	4	1	0	2.58	300
2011	4	0	0	2.46	75
2011	4	1	0	5.78	125
2011	4	0	0	2.76	75
2011	4	1	1	27.85	300
2011	4	1	0	8.32	500
2011	4	1	0	4.68	440
2011	4	1	0	4.45	100
2011	5	0	0	0.50	50
2011	5	0	0	0.21	30
2011	5	1	0	5.50	250
2011	6	0	0	0.20	20
2011	6	0	0	0.80	20
2011	7	1	0	2.91	200
2011	7	0	0	0.10	20
2011	10	0	0	0.39	40
2011	11	1	0	0.88	75
2012	1	1	0	0.45	75
2012	1	1	0	0.76	50
2012	1	3	1	15.69	800
2012	1	0	0	0.15	10
2012	4	0	0	1.77	75
2012	4	0	0	0.30	30
2012	5	2	0	6.73	440
2012	5	0	0	3.20	60
2012	5	3	0	9.68	150
2012	5	0	0	0.38	30
2012	6	0	0	0.56	150
2012	6	0	0	1.50	25
2012	8	0	0	1.61	180
2012	9	0	0	0.30	75
